company_location,num_entry_jobs,salary_edu_ratio,salary_divided_by_col,col_happy_ratio,SUM
Australia,0.44,0.00,0.37,0.45,1.27
China,0.43,0.01,0.61,0.90,1.96
Israel,0.42,0.01,0.31,0.54,1.28
Germany,0.41,1.00,0.44,0.51,2.36
Canada,0.41,0.00,0.37,0.47,1.26
Switzerland,0.42,0.11,0.37,0.32,1.21
Denmark,0.35,0.10,0.52,0.51,1.48
Finland,0.35,0.00,0.32,0.62,1.29
Norway,0.39,0.00,0.49,0.47,1.35
France,0.40,0.02,0.44,0.52,1.38
Austria,0.40,0.06,0.32,0.52,1.29
South Korea,0.42,0.01,0.36,0.52,1.32
India,0.41,0.04,1.00,1.00,2.45
Netherlands,0.40,0.01,0.42,0.50,1.33
Singapore,0.41,0.00,0.29,0.30,1.00
United Kingdom,0.39,0.00,0.45,0.48,1.33
Ireland,0.42,0.00,0.26,0.43,1.12
Japan,0.40,0.01,0.45,0.67,1.53
Sweden,0.39,0.00,0.48,0.61,1.48
United States,1.00,0.00,0.42,0.40,1.82